id,purchase_order_id,product_id,quantity,unit_price,total_price
40c6d1b9-5efb-47ba-8810-541c5b57a1fa,ccaa359c-72a7-4a9a-adde-abcad89cf171,b462b2e9-4a83-4e3c-af52-dd87ab42d06d,100.0,50.0,5000.0
22222222-3333-4444-5555-666666666662,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,6b9956f6-5c18-4fe3-9681-d4feaaed0a38,250.0,50.0,12500.0
22222222-3333-4444-5555-666666666663,b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,d6b6faf9-ecc3-40b6-94ef-51a80d2a5853,300.0,28.0,8400.0
88888888-2222-5555-9999-000000000001,77777777-1111-4444-8888-000000000001,b462b2e9-4a83-4e3c-af52-dd87ab42d06d,100.0,48.0,4800.0
88888888-2222-5555-9999-000000000002,77777777-1111-4444-8888-000000000002,b462b2e9-4a83-4e3c-af52-dd87ab42d06d,100.0,49.0,4900.0
88888888-2222-5555-9999-000000000003,77777777-1111-4444-8888-000000000003,b462b2e9-4a83-4e3c-af52-dd87ab42d06d,100.0,50.0,5000.0
88888888-2222-5555-9999-000000000004,77777777-1111-4444-8888-000000000004,6b9956f6-5c18-4fe3-9681-d4feaaed0a38,250.0,48.0,12000.0
88888888-2222-5555-9999-000000000005,77777777-1111-4444-8888-000000000005,6b9956f6-5c18-4fe3-9681-d4feaaed0a38,250.0,48.8,12200.0
88888888-2222-5555-9999-000000000006,77777777-1111-4444-8888-000000000006,6b9956f6-5c18-4fe3-9681-d4feaaed0a38,250.0,50.0,12500.0
88888888-2222-5555-9999-000000000007,77777777-1111-4444-8888-000000000007,d6b6faf9-ecc3-40b6-94ef-51a80d2a5853,300.0,26.67,8000.0
88888888-2222-5555-9999-000000000008,77777777-1111-4444-8888-000000000008,d6b6faf9-ecc3-40b6-94ef-51a80d2a5853,300.0,27.33,8200.0
